Type of Expenditure,Level,Year,Cost
National Health Expenditures,1,2018,3646.9
National Health Expenditures,1,2019,3823.1
National Health Expenditures,1,2020,4031.1
National Health Expenditures,1,2021,4255.2
National Health Expenditures,1,2022,4501.5
National Health Expenditures,1,2023,4767.1
National Health Expenditures,1,2024,5048.7
National Health Expenditures,1,2025,5344.8
National Health Expenditures,1,2026,5650.8
National Health Expenditures,1,2027,5963.2
Health Consumption Expenditures,2,2018,3470.3
Health Consumption Expenditures,2,2019,3637.6
Health Consumption Expenditures,2,2020,3835.9
Health Consumption Expenditures,2,2021,4049.6
Health Consumption Expenditures,2,2022,4284.7
Health Consumption Expenditures,2,2023,4538.5
Health Consumption Expenditures,2,2024,4807.7
Health Consumption Expenditures,2,2025,5090.4
Health Consumption Expenditures,2,2026,5382.5
Health Consumption Expenditures,2,2027,5679.9
Personal Health Care,3,2018,3085.3
Personal Health Care,3,2019,3242.5
Personal Health Care,3,2020,3412.6
Personal Health Care,3,2021,3601.5
Personal Health Care,3,2022,3811.1
Personal Health Care,3,2023,4037.8
Personal Health Care,3,2024,4278.2
Personal Health Care,3,2025,4531.0
Personal Health Care,3,2026,4792.7
Personal Health Care,3,2027,5058.4
Hospital Care,4,2018,1193.4
Hospital Care,4,2019,1254.7
Hospital Care,4,2020,1318.7
Hospital Care,4,2021,1390.1
Hospital Care,4,2022,1471.3
Hospital Care,4,2023,1559.3
Hospital Care,4,2024,1652.4
Hospital Care,4,2025,1751.6
Hospital Care,4,2026,1858.1
Hospital Care,4,2027,1961.6
Professional Services,4,2018,962.8
Professional Services,4,2019,1013.6
Professional Services,4,2020,1067.1
Professional Services,4,2021,1125.6
Professional Services,4,2022,1186.9
Professional Services,4,2023,1253.2
Professional Services,4,2024,1324.1
Professional Services,4,2025,1397.5
Professional Services,4,2026,1468.2
Professional Services,4,2027,1541.2
Physician and Clinical Services,5,2018,728.0
Physician and Clinical Services,5,2019,767.6
Physician and Clinical Services,5,2020,808.8
Physician and Clinical Services,5,2021,853.7
Physician and Clinical Services,5,2022,900.0
Physician and Clinical Services,5,2023,950.3
Physician and Clinical Services,5,2024,1004.4
Physician and Clinical Services,5,2025,1061.3
Physician and Clinical Services,5,2026,1115.8
Physician and Clinical Services,5,2027,1172.0
Other Professional Services,5,2018,100.8
Other Professional Services,5,2019,106.1
Other Professional Services,5,2020,112.0
Other Professional Services,5,2021,118.5
Other Professional Services,5,2022,125.6
Other Professional Services,5,2023,133.1
Other Professional Services,5,2024,141.2
Other Professional Services,5,2025,149.0
Other Professional Services,5,2026,156.8
Other Professional Services,5,2027,165.3
Dental Services,5,2018,134.0
Dental Services,5,2019,139.9
Dental Services,5,2020,146.4
Dental Services,5,2021,153.3
Dental Services,5,2022,161.3
Dental Services,5,2023,169.8
Dental Services,5,2024,178.5
Dental Services,5,2025,187.2
Dental Services,5,2026,195.6
Dental Services,5,2027,203.9
"Other Health, Residential, and Personal Care",4,2018,188.4
"Other Health, Residential, and Personal Care",4,2019,196.9
"Other Health, Residential, and Personal Care",4,2020,207.8
"Other Health, Residential, and Personal Care",4,2021,220.3
"Other Health, Residential, and Personal Care",4,2022,234.5
"Other Health, Residential, and Personal Care",4,2023,249.5
"Other Health, Residential, and Personal Care",4,2024,265.4
"Other Health, Residential, and Personal Care",4,2025,282.0
"Other Health, Residential, and Personal Care",4,2026,299.7
"Other Health, Residential, and Personal Care",4,2027,318.6
Home Health Care,4,2018,101.8
Home Health Care,4,2019,108.8
Home Health Care,4,2020,116.1
Home Health Care,4,2021,124.2
Home Health Care,4,2022,133.0
Home Health Care,4,2023,142.4
Home Health Care,4,2024,152.6
Home Health Care,4,2025,163.4
Home Health Care,4,2026,174.7
Home Health Care,4,2027,186.8
Nursing Care Facilities and Continuing Care Retirement Communities,4,2018,170.8
Nursing Care Facilities and Continuing Care Retirement Communities,4,2019,178.0
Nursing Care Facilities and Continuing Care Retirement Communities,4,2020,186.3
Nursing Care Facilities and Continuing Care Retirement Communities,4,2021,195.5
Nursing Care Facilities and Continuing Care Retirement Communities,4,2022,206.2
Nursing Care Facilities and Continuing Care Retirement Communities,4,2023,217.8
Nursing Care Facilities and Continuing Care Retirement Communities,4,2024,230.2
Nursing Care Facilities and Continuing Care Retirement Communities,4,2025,243.2
Nursing Care Facilities and Continuing Care Retirement Communities,4,2026,256.7
Nursing Care Facilities and Continuing Care Retirement Communities,4,2027,270.7
Retail Outlet Sales of Medical Products,4,2018,468.1
Retail Outlet Sales of Medical Products,4,2019,490.5
Retail Outlet Sales of Medical Products,4,2020,516.6
Retail Outlet Sales of Medical Products,4,2021,545.8
Retail Outlet Sales of Medical Products,4,2022,579.2
Retail Outlet Sales of Medical Products,4,2023,615.5
Retail Outlet Sales of Medical Products,4,2024,653.6
Retail Outlet Sales of Medical Products,4,2025,693.2
Retail Outlet Sales of Medical Products,4,2026,735.3
Retail Outlet Sales of Medical Products,4,2027,779.4
Prescription Drugs,5,2018,344.5
Prescription Drugs,5,2019,360.3
Prescription Drugs,5,2020,378.9
Prescription Drugs,5,2021,400.4
Prescription Drugs,5,2022,425.2
Prescription Drugs,5,2023,452.4
Prescription Drugs,5,2024,481.2
Prescription Drugs,5,2025,511.1
Prescription Drugs,5,2026,542.9
Prescription Drugs,5,2027,576.7
Durable Medical Equipment,5,2018,57.4
Durable Medical Equipment,5,2019,60.9
Durable Medical Equipment,5,2020,64.6
Durable Medical Equipment,5,2021,68.6
Durable Medical Equipment,5,2022,72.8
Durable Medical Equipment,5,2023,77.5
Durable Medical Equipment,5,2024,82.2
Durable Medical Equipment,5,2025,87.2
Durable Medical Equipment,5,2026,92.4
Durable Medical Equipment,5,2027,97.8
Other Non-Durable Medical Products,5,2018,66.2
Other Non-Durable Medical Products,5,2019,69.3
Other Non-Durable Medical Products,5,2020,73.0
Other Non-Durable Medical Products,5,2021,76.9
Other Non-Durable Medical Products,5,2022,81.2
Other Non-Durable Medical Products,5,2023,85.6
Other Non-Durable Medical Products,5,2024,90.2
Other Non-Durable Medical Products,5,2025,95.0
Other Non-Durable Medical Products,5,2026,99.9
Other Non-Durable Medical Products,5,2027,105.0
Government Administration,3,2018,46.7
Government Administration,3,2019,49.4
Government Administration,3,2020,52.0
Government Administration,3,2021,54.9
Government Administration,3,2022,58.5
Government Administration,3,2023,62.5
Government Administration,3,2024,66.6
Government Administration,3,2025,70.9
Government Administration,3,2026,75.8
Government Administration,3,2027,81.0
Net Cost of Health Insurance,3,2018,247.2
Net Cost of Health Insurance,3,2019,252.0
Net Cost of Health Insurance,3,2020,275.2
Net Cost of Health Insurance,3,2021,294.0
Net Cost of Health Insurance,3,2022,312.3
Net Cost of Health Insurance,3,2023,331.7
Net Cost of Health Insurance,3,2024,352.4
Net Cost of Health Insurance,3,2025,373.8
Net Cost of Health Insurance,3,2026,394.8
Net Cost of Health Insurance,3,2027,417.3
Government Public Health Activities,3,2018,91.1
Government Public Health Activities,3,2019,93.6
Government Public Health Activities,3,2020,96.2
Government Public Health Activities,3,2021,99.1
Government Public Health Activities,3,2022,102.8
Government Public Health Activities,3,2023,106.5
Government Public Health Activities,3,2024,110.4
Government Public Health Activities,3,2025,114.7
Government Public Health Activities,3,2026,119.2
Government Public Health Activities,3,2027,123.2
Investment,2,2018,176.5
Investment,2,2019,185.5
Investment,2,2020,195.1
Investment,2,2021,205.6
Investment,2,2022,216.9
Investment,2,2023,228.6
Investment,2,2024,241.1
Investment,2,2025,254.3
Investment,2,2026,268.3
Investment,2,2027,283.3
Research,3,2018,53.5
Research,3,2019,56.2
Research,3,2020,59.0
Research,3,2021,62.0
Research,3,2022,65.2
Research,3,2023,68.4
Research,3,2024,71.8
Research,3,2025,75.3
Research,3,2026,79.0
Research,3,2027,83.3
Structures and Equipment,3,2018,123.1
Structures and Equipment,3,2019,129.3
Structures and Equipment,3,2020,136.1
Structures and Equipment,3,2021,143.6
Structures and Equipment,3,2022,151.7
Structures and Equipment,3,2023,160.2
Structures and Equipment,3,2024,169.3
Structures and Equipment,3,2025,179.0
Structures and Equipment,3,2026,189.2
Structures and Equipment,3,2027,200.0
