Type,Level,Year,Cost
National Health Expenditures,1,1960,27.2
National Health Expenditures,1,1970,74.6
National Health Expenditures,1,1980,255.3
National Health Expenditures,1,1990,721.4
National Health Expenditures,1,2000,1369.2
National Health Expenditures,1,2001,1486.2
National Health Expenditures,1,2002,1628.7
National Health Expenditures,1,2003,1767.6
National Health Expenditures,1,2004,1895.8
National Health Expenditures,1,2005,2023.8
National Health Expenditures,1,2006,2156.3
National Health Expenditures,1,2007,2295.4
National Health Expenditures,1,2008,2399.3
National Health Expenditures,1,2009,2495.6
National Health Expenditures,1,2010,2598.6
National Health Expenditures,1,2011,2690.6
National Health Expenditures,1,2012,2798
National Health Expenditures,1,2013,2881.8
National Health Expenditures,1,2014,3030.9
National Health Expenditures,1,2015,3205.9
National Health Expenditures,1,2016,3361.1
National Health Expenditures,1,2017,3492.1
Health Consumption Expenditures,2,1960,24.7
Health Consumption Expenditures,2,1970,67
Health Consumption Expenditures,2,1980,235.5
Health Consumption Expenditures,2,1990,674.1
Health Consumption Expenditures,2,2000,1285.9
Health Consumption Expenditures,2,2001,1398.8
Health Consumption Expenditures,2,2002,1531.9
Health Consumption Expenditures,2,2003,1663.9
Health Consumption Expenditures,2,2004,1784.4
Health Consumption Expenditures,2,2005,1904.1
Health Consumption Expenditures,2,2006,2031.1
Health Consumption Expenditures,2,2007,2157
Health Consumption Expenditures,2,2008,2251.3
Health Consumption Expenditures,2,2009,2356.6
Health Consumption Expenditures,2,2010,2455.9
Health Consumption Expenditures,2,2011,2541.3
Health Consumption Expenditures,2,2012,2644.9
Health Consumption Expenditures,2,2013,2728.6
Health Consumption Expenditures,2,2014,2881.1
Health Consumption Expenditures,2,2015,3051.5
Health Consumption Expenditures,2,2016,3202.9
Health Consumption Expenditures,2,2017,3324.5
Personal Health Care,3,1960,23.3
Personal Health Care,3,1970,63.1
Personal Health Care,3,1980,217
Personal Health Care,3,1990,615.3
Personal Health Care,3,2000,1161.5
Personal Health Care,3,2001,1261.4
Personal Health Care,3,2002,1367.1
Personal Health Care,3,2003,1477.2
Personal Health Care,3,2004,1587.5
Personal Health Care,3,2005,1695.7
Personal Health Care,3,2006,1804.3
Personal Health Care,3,2007,1918.4
Personal Health Care,3,2008,2010.7
Personal Health Care,3,2009,2114.6
Personal Health Care,3,2010,2196.1
Personal Health Care,3,2011,2274.1
Personal Health Care,3,2012,2367.4
Personal Health Care,3,2013,2438
Personal Health Care,3,2014,2561.5
Personal Health Care,3,2015,2717.8
Personal Health Care,3,2016,2851.9
Personal Health Care,3,2017,2961
Hospital Care,4,1960,9
Hospital Care,4,1970,27.2
Hospital Care,4,1980,100.5
Hospital Care,4,1990,250.4
Hospital Care,4,2000,415.5
Hospital Care,4,2001,449.4
Hospital Care,4,2002,486.5
Hospital Care,4,2003,525.9
Hospital Care,4,2004,565.3
