Type,Level,Year,Cost,Time
National Health Expenditures,1,1960,27.2,Historical
National Health Expenditures,1,1970,74.6,Historical
National Health Expenditures,1,1980,255.3,Historical
National Health Expenditures,1,1990,721.4,Historical
National Health Expenditures,1,2000,1369.2,Historical
National Health Expenditures,1,2001,1486.2,Historical
National Health Expenditures,1,2002,1628.7,Historical
National Health Expenditures,1,2003,1767.6,Historical
National Health Expenditures,1,2004,1895.8,Historical
National Health Expenditures,1,2005,2023.8,Historical
National Health Expenditures,1,2006,2156.3,Historical
National Health Expenditures,1,2007,2295.4,Historical
National Health Expenditures,1,2008,2399.3,Historical
National Health Expenditures,1,2009,2495.6,Historical
National Health Expenditures,1,2010,2598.6,Historical
National Health Expenditures,1,2011,2690.6,Historical
National Health Expenditures,1,2012,2798.0,Historical
National Health Expenditures,1,2013,2881.8,Historical
National Health Expenditures,1,2014,3030.9,Historical
National Health Expenditures,1,2015,3205.9,Historical
National Health Expenditures,1,2016,3361.1,Historical
National Health Expenditures,1,2017,3492.1,Historical
Health Consumption Expenditures,2,1960,24.7,Historical
Health Consumption Expenditures,2,1970,67.0,Historical
Health Consumption Expenditures,2,1980,235.5,Historical
Health Consumption Expenditures,2,1990,674.1,Historical
Health Consumption Expenditures,2,2000,1285.9,Historical
Health Consumption Expenditures,2,2001,1398.8,Historical
Health Consumption Expenditures,2,2002,1531.9,Historical
Health Consumption Expenditures,2,2003,1663.9,Historical
Health Consumption Expenditures,2,2004,1784.4,Historical
Health Consumption Expenditures,2,2005,1904.1,Historical
Health Consumption Expenditures,2,2006,2031.1,Historical
Health Consumption Expenditures,2,2007,2157.0,Historical
Health Consumption Expenditures,2,2008,2251.3,Historical
Health Consumption Expenditures,2,2009,2356.6,Historical
Health Consumption Expenditures,2,2010,2455.9,Historical
Health Consumption Expenditures,2,2011,2541.3,Historical
Health Consumption Expenditures,2,2012,2644.9,Historical
Health Consumption Expenditures,2,2013,2728.6,Historical
Health Consumption Expenditures,2,2014,2881.1,Historical
Health Consumption Expenditures,2,2015,3051.5,Historical
Health Consumption Expenditures,2,2016,3202.9,Historical
Health Consumption Expenditures,2,2017,3324.5,Historical
Personal Health Care,3,1960,23.3,Historical
Personal Health Care,3,1970,63.1,Historical
Personal Health Care,3,1980,217.0,Historical
Personal Health Care,3,1990,615.3,Historical
Personal Health Care,3,2000,1161.5,Historical
Personal Health Care,3,2001,1261.4,Historical
Personal Health Care,3,2002,1367.1,Historical
Personal Health Care,3,2003,1477.2,Historical
Personal Health Care,3,2004,1587.5,Historical
Personal Health Care,3,2005,1695.7,Historical
Personal Health Care,3,2006,1804.3,Historical
Personal Health Care,3,2007,1918.4,Historical
Personal Health Care,3,2008,2010.7,Historical
Personal Health Care,3,2009,2114.6,Historical
Personal Health Care,3,2010,2196.1,Historical
Personal Health Care,3,2011,2274.1,Historical
Personal Health Care,3,2012,2367.4,Historical
Personal Health Care,3,2013,2438.0,Historical
Personal Health Care,3,2014,2561.5,Historical
Personal Health Care,3,2015,2717.8,Historical
Personal Health Care,3,2016,2851.9,Historical
Personal Health Care,3,2017,2961.0,Historical
Hospital Care,4,1960,9.0,Historical
Hospital Care,4,1970,27.2,Historical
Hospital Care,4,1980,100.5,Historical
Hospital Care,4,1990,250.4,Historical
Hospital Care,4,2000,415.5,Historical
Hospital Care,4,2001,449.4,Historical
Hospital Care,4,2002,486.5,Historical
Hospital Care,4,2003,525.9,Historical
Hospital Care,4,2004,565.3,Historical
Hospital Care,4,2005,608.6,Historical
Hospital Care,4,2006,651.2,Historical
Hospital Care,4,2007,691.9,Historical
Hospital Care,4,2008,725.6,Historical
Hospital Care,4,2009,779.6,Historical
Hospital Care,4,2010,822.3,Historical
Hospital Care,4,2011,851.9,Historical
Hospital Care,4,2012,902.5,Historical
Hospital Care,4,2013,937.6,Historical
Hospital Care,4,2014,978.2,Historical
Hospital Care,4,2015,1034.5,Historical
Hospital Care,4,2016,1092.8,Historical
Hospital Care,4,2017,1142.6,Historical
Professional Services,4,1960,7.9,Historical
Professional Services,4,1970,19.8,Historical
Professional Services,4,1980,64.5,Historical
Professional Services,4,1990,207.3,Historical
Professional Services,4,2000,387.0,Historical
Professional Services,4,2001,420.7,Historical
Professional Services,4,2002,454.6,Historical
Professional Services,4,2003,487.1,Historical
Professional Services,4,2004,521.8,Historical
Professional Services,4,2005,553.0,Historical
Professional Services,4,2006,581.8,Historical
Professional Services,4,2007,615.3,Historical
Professional Services,4,2008,649.1,Historical
Professional Services,4,2009,667.8,Historical
Professional Services,4,2010,688.3,Historical
Professional Services,4,2011,716.6,Historical
Professional Services,4,2012,743.2,Historical
Professional Services,4,2013,759.4,Historical
Professional Services,4,2014,792.5,Historical
Professional Services,4,2015,838.0,Historical
Professional Services,4,2016,884.0,Historical
Professional Services,4,2017,920.0,Historical
Physician and Clinical Services,5,1960,5.6,Historical
Physician and Clinical Services,5,1970,14.3,Historical
Physician and Clinical Services,5,1980,47.7,Historical
Physician and Clinical Services,5,1990,158.4,Historical
Physician and Clinical Services,5,2000,288.2,Historical
Physician and Clinical Services,5,2001,312.7,Historical
Physician and Clinical Services,5,2002,337.7,Historical
Physician and Clinical Services,5,2003,364.3,Historical
Physician and Clinical Services,5,2004,389.4,Historical
Physician and Clinical Services,5,2005,413.0,Historical
Physician and Clinical Services,5,2006,434.7,Historical
